src,ra_deg,dec_deg,mjd,repeater
FRB130729,205.33749999999998,-5.995277777777778,56502.376286921295,False
FRB130628,135.75833333333333,3.437777777777778,56471.165279837965,False
FRB130626,246.77499999999995,-7.463333333333334,56469.62221957176,False
FRB121029,3.0,42.059999999999995,56229.67113425926,False
FRB121002,273.6958333333333,-85.19805555555556,56202.5481300463,False
FRB120127,348.7749999999999,-18.427222222222223,55953.341223668984,False
FRB110703,352.7125,-2.8733333333333335,55745.79144221065,False
FRB110627,315.9291666666667,-44.73861111111111,55739.89811894676,False
FRB110523,326.29999999999995,-0.16027777777777777,55704.629394675925,False
FRB110220,338.6583333333333,-12.395833333333332,55612.080417777775,False
FRB110214,20.320833333333333,-49.78638888888889,55606.301508715274,False
FRB090625,46.945833333333326,-29.92666666666667,55007.91240021991,False
FRB010724,19.525,-75.205,52114.82640844907,False
