src,ra_deg,dec_deg,mjd,catalog,repeater
FRB20180729A,199.4,55.58,58328.0335647983,CHIME_Catalog1,False
FRB20180729B,89.9,56.5,58328.728032398,CHIME_Catalog1,False
FRB20180730A,57.39,87.2,58329.151134265994,CHIME_Catalog1,False
FRB20180801A,322.53,72.7,58331.366249872,CHIME_Catalog1,False
FRB20180806A,228.56,75.6,58336.592511576,CHIME_Catalog1,False
FRB20180810A,101.5,34.9,58340.72847224,CHIME_Catalog1,False
FRB20180810B,180.41,83.1,58340.944953709004,CHIME_Catalog1,False
FRB20180812A,19.3,80.8,58342.49009258099,CHIME_Catalog1,False
FRB20180814B,238.26,74.0,58344.597418957004,CHIME_Catalog1,False
FRB20180814A,65.5,73.6,58344.617939757,CHIME_Catalog1,True
FRB20180817A,233.2,42.2,58347.07608796,CHIME_Catalog1,False
FRB20180904A,286.6,81.2,58365.6713215157,CHIME_Catalog1,False
FRB20180906A,141.5,14.3,58367.76793102099,CHIME_Catalog1,False
FRB20180906B,185.8,56.4,58367.887947305,CHIME_Catalog1,False
FRB20180907D,329.0,89.2,58368.254154255,CHIME_Catalog1,False
FRB20180907A,320.9,29.5,58368.261003504005,CHIME_Catalog1,False
FRB20180907B,4.5,19.2,58368.3820747,CHIME_Catalog1,False
FRB20180907C,41.7,77.1,58368.491781235,CHIME_Catalog1,False
FRB20180907E,167.9,47.1,58368.83417969,CHIME_Catalog1,False
FRB20180908B,188.2,74.2,58369.884074803,CHIME_Catalog1,True
FRB20180909A,123.6,56.8,58370.70598115,CHIME_Catalog1,False
FRB20180910A,352.8,88.2,58371.337577180995,CHIME_Catalog1,False
FRB20180814A,65.5,73.6,58372.54116263,CHIME_Catalog1,True
FRB20180911A,99.6,84.62,58372.6252476504,CHIME_Catalog1,False
FRB20180915A,280.6,17.9,58376.127609445,CHIME_Catalog1,False
FRB20180915B,225.2,25.0,58376.975384589,CHIME_Catalog1,False
FRB20180916A,349.0,80.33,58377.31473946,CHIME_Catalog1,False
FRB20180916B,29.503125800000003,65.7167542,58377.427312842,CHIME_Catalog1,True
FRB20180916C,107.2,45.1,58377.64329914,CHIME_Catalog1,False
FRB20180917B,238.8,77.5,58378.00620009,CHIME_Catalog1,False
FRB20180814A,65.5,73.6,58378.032385833,CHIME_Catalog1,True
FRB20180918A,301.3,65.0,58379.174621232,CHIME_Catalog1,False
FRB20180919B,5.3,5.94,58380.353756027995,CHIME_Catalog1,False
FRB20180814A,65.5,73.6,58380.52513717,CHIME_Catalog1,True
FRB20180920A,78.9,28.3,58381.55528837,CHIME_Catalog1,False
FRB20180920B,191.1,63.5,58381.86207564,CHIME_Catalog1,False
FRB20180921A,28.9,5.1,58382.412533746,CHIME_Catalog1,False
FRB20180922A,342.3,69.67,58383.276789027004,CHIME_Catalog1,False
FRB20180923A,327.61,71.9,58384.238085635,CHIME_Catalog1,False
FRB20180923D,169.08,48.75,58384.79643050981,CHIME_Catalog1,False
FRB20180923C,239.14,22.9,58384.991255929,CHIME_Catalog1,False
FRB20180924A,35.5,37.5,58385.422759502,CHIME_Catalog1,False
FRB20180925A,74.9,78.0,58386.53006032,CHIME_Catalog1,False
FRB20180925B,145.5,20.99,58386.727076655996,CHIME_Catalog1,False
FRB20180928A,312.95,30.85,58389.183697977,CHIME_Catalog1,False
FRB20181012B,206.3,64.15,58403.848921939,CHIME_Catalog1,False
FRB20181013A,262.8,38.4,58404.003125997006,CHIME_Catalog1,False
FRB20181013E,307.3,69.0,58404.122485257,CHIME_Catalog1,False
FRB20181013B,97.2,52.0,58404.54018734,CHIME_Catalog1,False
FRB20181013C,146.1,34.1,58404.67999418599,CHIME_Catalog1,False
FRB20181014A,46.0,63.3,58405.402640779,CHIME_Catalog1,False
FRB20181014B,78.6,14.7,58405.489948519,CHIME_Catalog1,False
FRB20181014C,117.9,41.6,58405.59651295,CHIME_Catalog1,False
FRB20181014D,216.0,-2.9,58405.868384730995,CHIME_Catalog1,False
FRB20181015A,175.8,83.6,58406.7530872,CHIME_Catalog1,False
FRB20181017B,237.8,78.5,58408.92979533,CHIME_Catalog1,False
FRB20181017A,256.3,68.3,58408.97652582,CHIME_Catalog1,True
FRB20181018B,336.8,71.9,58409.194113138,CHIME_Catalog1,False
FRB20181018A,17.0,51.6,58409.30607695,CHIME_Catalog1,False
FRB20181018C,67.2,37.6,58409.44643911,CHIME_Catalog1,False
FRB20180916B,29.503125800000003,65.7167542,58410.34262424,CHIME_Catalog1,True
FRB20181019B,37.9,68.2,58410.36427371,CHIME_Catalog1,False
FRB20181019C,244.7,66.3,58410.93030664,CHIME_Catalog1,False
FRB20181020A,322.6,78.8,58411.14839666,CHIME_Catalog1,False
FRB20181022C,141.6,83.8,58413.14445573,CHIME_Catalog1,False
FRB20181022D,179.2,36.5,58413.745648785996,CHIME_Catalog1,False
FRB20181022E,221.2,27.1,58413.85934789,CHIME_Catalog1,False
FRB20181025A,105.8,64.3,58416.53571729,CHIME_Catalog1,False
FRB20181027A,131.9,-4.2,58418.59861699,CHIME_Catalog1,False
FRB20180814A,65.5,73.6,58419.42539902,CHIME_Catalog1,True
FRB20181030C,309.8,4.0,58421.08719899,CHIME_Catalog1,False
FRB20181030A,158.4,73.8,58421.17584521,CHIME_Catalog1,True
FRB20181030A,158.4,73.8,58421.17802826,CHIME_Catalog1,True
FRB20181030D,81.8,16.1,58421.45284254,CHIME_Catalog1,False
FRB20181030E,135.67,8.9,58421.600999999995,CHIME_Catalog1,False
FRB20181101A,21.26,53.9,58423.28045868,CHIME_Catalog1,False
FRB20181102A,87.2,15.6,58424.460830164004,CHIME_Catalog1,False
FRB20180916B,29.503125800000003,65.7167542,58426.289798323,CHIME_Catalog1,True
FRB20180916B,29.503125800000003,65.7167542,58426.29654762,CHIME_Catalog1,True
FRB20181104C,77.1,17.4,58426.42715629731,CHIME_Catalog1,False
FRB20181115A,142.98,56.4,58437.57983849,CHIME_Catalog1,False
FRB20181116A,36.05,4.5,58438.281221834004,CHIME_Catalog1,False
FRB20181116B,232.7,64.94,58438.823545129,CHIME_Catalog1,False
FRB20181117C,53.2,25.7,58439.325545057,CHIME_Catalog1,False
FRB20181117A,147.7,52.5,58439.584451364004,CHIME_Catalog1,False
FRB20181117B,81.1,80.0,58439.896354018,CHIME_Catalog1,False
FRB20181118A,20.7,-6.4,58440.233787267,CHIME_Catalog1,False
FRB20181118B,58.3,10.8,58440.335794886,CHIME_Catalog1,False
FRB20180814A,65.5,73.6,58440.364464050996,CHIME_Catalog1,True
FRB20181119B,299.4,31.1,58441.003477988,CHIME_Catalog1,False
FRB20181119E,16.4,60.5,58441.21924524,CHIME_Catalog1,False
FRB20181119A,190.5,65.1,58441.70073114,CHIME_Catalog1,True
FRB20181119C,190.1,82.2,58441.71283696,CHIME_Catalog1,False
FRB20180916B,29.503125800000003,65.7167542,58442.247294232,CHIME_Catalog1,True
FRB20180814A,65.5,73.6,58442.35102095,CHIME_Catalog1,True
FRB20181122A,60.0,55.5,58444.327910982,CHIME_Catalog1,False
FRB20181122B,281.1,85.02,58444.429052715896,CHIME_Catalog1,False
FRB20181123A,300.76,55.9,58445.994296863,CHIME_Catalog1,False
FRB20181124B,318.6,29.9,58446.044202045,CHIME_Catalog1,False
FRB20181124A,176.0,63.5,58446.64522239599,CHIME_Catalog1,False
FRB20181125A,147.9,33.93,58447.567716764,CHIME_Catalog1,False
FRB20181126A,262.1,81.2,58448.8755830441,CHIME_Catalog1,False
FRB20181127A,243.8,25.4,58449.82371829,CHIME_Catalog1,False
FRB20181128A,73.9,63.22,58450.352565035995,CHIME_Catalog1,True
FRB20181128B,157.2,38.28,58450.585370901,CHIME_Catalog1,False
FRB20181128D,215.62,59.9,58450.745407732,CHIME_Catalog1,False
FRB20181128C,268.77,49.7,58450.89015425,CHIME_Catalog1,False
FRB20181129A,355.1,45.0,58451.130626564,CHIME_Catalog1,False
FRB20181129B,307.6,81.3,58451.481679870994,CHIME_Catalog1,False
FRB20181129C,233.4,40.0,58451.791947885,CHIME_Catalog1,False
FRB20181130A,355.19,46.5,58452.12719432,CHIME_Catalog1,False
FRB20181201A,215.0,39.3,58453.73548306,CHIME_Catalog1,False
FRB20181201B,273.4,56.3,58453.89346452,CHIME_Catalog1,False
FRB20181202A,351.0,17.4,58454.112287932,CHIME_Catalog1,False
FRB20181202B,202.8,64.7,58454.69746184599,CHIME_Catalog1,False
FRB20181202C,307.1,57.0,58454.98412964599,CHIME_Catalog1,False
FRB20181203A,33.6,23.6,58455.22586821,CHIME_Catalog1,False
FRB20181203B,47.31,24.0,58455.26617027901,CHIME_Catalog1,False
FRB20181203C,198.5,72.9,58455.6783605,CHIME_Catalog1,False
FRB20181208A,264.4,62.6,58460.856286038,CHIME_Catalog1,False
FRB20181209A,98.2,68.7,58461.392266336,CHIME_Catalog1,False
