src,ra_deg,dec_deg,mjd,repeater
FRB20190226C,17.5,26.76,58540.94814174,False
FRB20190317B,101.01,49.7,58559.127106541,False
FRB20190612A,148.2,70.4,58646.02568994,False
FRB20181224D,182.5,54.9,58476.583231799006,False
FRB20190518B,175.1,20.3,58621.166374403,False
FRB20190223A,64.7,87.7,58537.150224617,False
FRB20181230C,245.8,50.5,58482.738149496,False
FRB20180810A,101.5,34.9,58340.72847224,False
FRB20190405B,236.48,89.2,58578.98019176,False
FRB20190519E,168.3,41.7,58622.144989693,False
FRB20181128B,157.2,38.28,58450.585370901,False
FRB20181012B,206.3,64.15,58403.848921939,False
FRB20190217B,22.6,27.0,58531.985682807004,False
FRB20190614A,179.79,88.3,58648.157123478,False
FRB20190520A,273.52,26.32,58623.434067865994,False
FRB20190614C,356.5,35.9,58648.592482649,False
FRB20190114A,9.0,19.2,58497.04583212,False
FRB20181018A,17.0,51.6,58409.30607695,False
FRB20190226A,58.8,31.9,58540.06706253599,False
FRB20190208B,91.0,80.88,58522.210288183,False
FRB20190420C,248.1,37.3,58593.44495265,False
FRB20190403G,81.7,25.8,58576.0295299,False
FRB20190104B,234.7,-6.3,58487.6985445,False
FRB20190621D,270.63,78.9,58655.34370799,False
FRB20190224B,268.2,82.6,58538.158837515,False
FRB20180817A,233.2,42.2,58347.07608796,False
FRB20181030C,309.8,4.0,58421.08719899,False
FRB20190604E,235.6,32.1,58638.28877139,False
FRB20181126A,262.1,81.2,58448.8755830441,False
FRB20180906A,141.5,14.3,58367.76793102099,False
FRB20190213D,336.45,52.7,58527.87102844,False
FRB20181025A,105.8,64.3,58416.53571729,False
FRB20190228B,50.01,81.9,58542.531064366,False
FRB20181214A,70.0,43.1,58466.297397477996,False
FRB20181213B,183.5,53.7,58465.616132775,False
FRB20190330B,269.41,52.8,58572.560358824005,False
FRB20190317C,125.8,32.1,58559.19933451,False
FRB20190425A,255.7,21.5,58598.449929777096,False
FRB20181222B,90.0,38.55,58474.329597671,False
FRB20190623C,192.3,86.0,58657.630607907995,False
FRB20190619A,165.2,68.4,58653.05320074,False
FRB20190320E,76.6,89.2,58562.971827585,False
FRB20190527C,100.2,57.0,58630.9327143193,False
FRB20181230D,255.3,50.5,58482.766381189,False
FRB20190621C,206.6,5.2,58655.15951307,False
FRB20181017B,237.8,78.5,58408.92979533,False
